,id_x,type,description,url,pacient_id,user_id_x,created_at_x,updated_at_x,id_y,name_x,Unnamed: 0_x,id_x,name_y,birth_date,taxpayer_registry,registration_completed,gender,mothers_name,image_url,registration_completed_at,created_at_y,updated_at_y,Unnamed: 0_y,id_y,central_temperature,cardio_frequency,resp_frequency,total_leucocyto,left_deviation,sistolic_arterial_pressure,average_arterial_pressure,oliguria,creatinine,pao2_fio2_relation,spo2,platelet,lactate,consciousness_status,bilirubin,user_id_y,created_at,updated_at
0,1,SIRS,Maria o paciente Marissa Saunders precisa de você !,,1,13,2019-03-31 08:28:03.860386,2019-03-31 08:28:03.860565,13,Maria,0,1,Marissa Saunders,19/03/1997,16351923776,0,M,Mary Davis,,2019-03-31 06:51:41.133165,2019-03-31 06:51:41.133247,2019-03-31 06:51:41.133319,0,1,36,100,26,18045,1,68,76,0.6607972870965675,2.139877947329867,309,1,68429,0,0,1,11,2019-03-31 06:20:34.974982,2019-03-31 06:20:34.975072
1,7,organic_disfunction,Maria o paciente Stephanie Miller precisa de você !,,7,13,2019-03-31 08:28:03.860397,2019-03-31 08:28:03.860572,13,Maria,6,7,Stephanie Miller,26/12/1958,15188879600,0,F,Debra Copas,,2019-03-31 06:51:41.133170,2019-03-31 06:51:41.133250,2019-03-31 06:51:41.133323,6,7,36,84,23,2330,1,88,67,0.3955020255351371,2.699562781759565,189,0,167612,1,0,1,10,2019-03-31 06:20:34.974988,2019-03-31 06:20:34.975075
2,9,organic_disfunction,Maria o paciente Flora Hocker precisa de você !,,9,13,2019-03-31 08:28:03.860399,2019-03-31 08:28:03.860574,13,Maria,8,9,Flora Hocker,27/06/1967,33997537130,0,M,Christine Mcallister,,2019-03-31 06:51:41.133171,2019-03-31 06:51:41.133250,2019-03-31 06:51:41.133324,8,9,35,164,19,13463,0,68,75,0.3479705573640211,1.7774548056798485,286,0,170935,0,0,0,10,2019-03-31 06:20:34.974989,2019-03-31 06:20:34.975076
3,31,SIRS,Maria o paciente Wilma Palmer precisa de você !,,31,13,2019-03-31 08:28:03.860420,2019-03-31 08:28:03.860595,13,Maria,30,31,Wilma Palmer,03/02/1945,46391462071,1,M,Carole Londner,,2019-03-31 06:51:41.133178,2019-03-31 06:51:41.133258,2019-03-31 06:51:41.133335,30,31,35,89,15,11570,1,94,79,0.6828880998530875,1.844965657447235,315,0,55806,1,0,1,11,2019-03-31 06:20:34.975000,2019-03-31 06:20:34.975087
4,36,organic_disfunction,Maria o paciente Franklin Lewis precisa de você !,,36,13,2019-03-31 08:28:03.860425,2019-03-31 08:28:03.860600,13,Maria,35,36,Franklin Lewis,04/06/1943,35498836284,0,F,Jesusita Herald,,2019-03-31 06:51:41.133179,2019-03-31 06:51:41.133259,2019-03-31 06:51:41.133337,35,36,38,79,17,3860,1,66,44,0.6685665704902821,2.356677910013453,398,1,136726,1,0,0,10,2019-03-31 06:20:34.975002,2019-03-31 06:20:34.975089
5,37,organic_disfunction,Maria o paciente Shirley Silverstein precisa de você !,,37,13,2019-03-31 08:28:03.860426,2019-03-31 08:28:03.860601,13,Maria,36,37,Shirley Silverstein,12/06/1947,29684326389,1,F,Nicole Lindholm,,2019-03-31 06:51:41.133180,2019-03-31 06:51:41.133259,2019-03-31 06:51:41.133337,36,37,39,134,15,13435,0,66,56,0.4586928451660826,1.0004006466246858,347,0,153933,1,0,1,12,2019-03-31 06:20:34.975002,2019-03-31 06:20:34.975089
6,38,SIRS,Maria o paciente Eugene Hattaway precisa de você !,,38,13,2019-03-31 08:28:03.860427,2019-03-31 08:28:03.860602,13,Maria,37,38,Eugene Hattaway,30/05/1994,21327190627,1,F,Ann Espinal,,2019-03-31 06:51:41.133180,2019-03-31 06:51:41.133260,2019-03-31 06:51:41.133338,37,38,35,96,27,12560,0,118,53,0.3889015474911681,0.8963898941705937,279,0,102103,0,0,1,10,2019-03-31 06:20:34.975003,2019-03-31 06:20:34.975090
7,45,SIRS,Maria o paciente Debra Owenby precisa de você !,,45,13,2019-03-31 08:28:03.860434,2019-03-31 08:28:03.860609,13,Maria,44,45,Debra Owenby,17/03/1956,42908367565,1,F,Ivy Prahl,,2019-03-31 06:51:41.133182,2019-03-31 06:51:41.133262,2019-03-31 06:51:41.133340,44,45,38,108,29,6095,1,104,67,0.4431703996565605,0.8851431236139116,293,0,64465,1,0,0,11,2019-03-31 06:20:34.975006,2019-03-31 06:20:34.975093
8,46,organic_disfunction,Maria o paciente Anthony Prince precisa de você !,,46,13,2019-03-31 08:28:03.860435,2019-03-31 08:28:03.860610,13,Maria,45,46,Anthony Prince,26/12/1969,26468458422,1,F,Susie Smith,,2019-03-31 06:51:41.133182,2019-03-31 06:51:41.133262,2019-03-31 06:51:41.133340,45,46,39,97,22,10253,1,100,60,0.4191535555163508,1.591552555478038,350,1,148101,1,0,0,11,2019-03-31 06:20:34.975007,2019-03-31 06:20:34.975094
9,50,SIRS,Maria o paciente Dean Romer precisa de você !,,50,13,2019-03-31 08:28:03.860438,2019-03-31 08:28:03.860613,13,Maria,49,50,Dean Romer,22/02/1967,18351259434,1,F,Anna Burnley,,2019-03-31 06:51:41.133184,2019-03-31 06:51:41.133264,2019-03-31 06:51:41.133341,49,50,39,176,24,8710,1,83,66,0.5253144806974164,2.7650612148939087,301,0,86516,1,0,1,13,2019-03-31 06:20:34.975009,2019-03-31 06:20:34.975096
